 33| 33  14  32  24  18  35  37  17   2  23  28  21   5  36  27  31  34   4   3  13  42  10  29  11  19  25   8   6  26  41  20  15  22  38   7  16  12   9  39  40  30   1 
 34| 34  38   2  25  33   4   7  23   8  14   3  16  28   6  32  13  12  21  26  24  42   9   5  41  18  10  39  36  20  35  29  40  27  15  37  11  30  31  22  17  19   1 
 35| 35  21   4  11  41  16   1 
 36| 36   6   1 
 37| 37  36  42   6   7   1 
 38| 38  25   4  23  14  16   6  13  21  24   9  41  10  36  35  40  15  11  31  17   1 
 39| 39  16  22  41   8  11  42   4  27  21   2  35  32   1 
 40| 40   9  16  38  15  41   6  25  11  10  13   4  31  36  21  23  17  35  24  14   1 
 41| 41   4  35  16  11  21   1 
 42| 42   1 
3,5,12,18,19,20,26,28,29,30,33,34
